2,208,0,0,0,0,0,208
1,132,0.3,4.1,193,0,0,270
1,132,0.3,4.1,193,0,0,196
1,132,0.3,4.1,193,0,0,154
1,132,0.3,4.1,193,0,0,180
1,132,0.3,4.1,193,0,0,189
4,112,0.3,4.1,188,0,0,189
4,112,0.3,4.1,188,0,0,191
5.1,106,0.3,4.2,203,0,0,191
3,294,0.3,2.1,193,0,0,191
2,137,0,5.1,208,0,0,191
6.1,132,0,1,132,0,0,216
7.1,112,0,2,106,0,0,216
3,41,0.3,10.3,198,0,0.1,216
5,51,0.6,9.3,193,0,0.1,220
5,51,0.6,9.3,193,0,0.1,220
6,30,0,1,35,0.1,0.1,206
2,112,0.9,9.1,188,0,0.1,206
6,76,0,1,76,0.1,0.1,206
5.1,147,1,9.4,193,0.2,0.1,206
10.2,162,0.3,4.1,188,0.7,0.2,206
8.1,188,0.3,3.2,193,0.9,0.1,206
4.1,208,0.9,7.4,183,0.9,0.1,206
6,198,0,1,198,0.7,0.1,206
6.1,208,0,1.1,208,0.7,0.1,206
5.1,203,0.9,9.5,101,1.5,0.2,222
4,223,0.9,9.5,112,1.1,0.2,222
2,198,0.9,9.3,106,0.5,0.2,203
2,198,0.9,9.3,106,0.5,0.2,203
6.1,177,0,1,177,1,0.2,203
4.1,264,0.6,8.3,218,1.4,0.2,234
10.2,269,0.6,4.1,259,1.1,0.2,205
10.2,269,0.6,4.1,259,1.1,0.2,205
10.2,269,0.6,4.1,259,1.3,0.2,220
10.1,243,0.3,4,228,1.3,0.2,220
9.1,248,0.3,3,238,1,0.1,220
9.1,248,0.3,3,238,1,0.1,223
11.1,238,0.6,4,223,1,0.1,223
10.1,208,0.6,4,213,0.5,0.1,223
7,228,0.3,3,218,0.5,0.1,223
12.2,208,0.6,5,213,0,0,223
12.1,223,0.9,5.3,218,0.6,0,223
15,243,1.2,5.2,233,0.6,0.1,223
15.1,238,1.3,6.3,233,0.6,0,223
17.1,228,1.6,6.3,228,0.6,0,223
18.1,238,1.5,6.3,233,0,0,223
22.3,248,2.5,7.4,248,0.1,0.1,223
25.2,254,3.1,8.3,254,0.1,0.2,223
21.2,254,2.1,7.2,259,0.1,0.1,233
21.2,254,2.1,7.2,259,0.1,0.1,233
20.3,254,2.2,7.4,259,0.1,0.1,233
20.3,254,2.2,7.4,259,0.1,0.2,205
19.1,248,1.9,6,259,0.1,0.1,205
15,248,1.3,5.2,254,0.3,0.1,205
14.2,228,0.9,4.2,223,0.2,0.1,205
15.1,223,1.3,5.2,218,0.1,0,207
15.1,223,1.3,5.2,218,0.1,0,207
13.1,213,0.9,4,208,0,0,207
0,0,0,0,0,0,0,236
0,0,0,0,0,0,0,229
0,0,0,0,0,0,0,229
8.1,193,0.3,3.1,188,0,0,259
8.1,193,0.3,3.1,188,0,0,262
8.1,193,0.3,3.1,188,0,0,250
8.1,193,0.3,3.1,188,0,0,245
7.1,177,0.3,3.1,183,0,0,241
7.1,177,0.3,3.1,183,0,0,296
7.1,177,0.3,3.1,183,0,0,270
7.1,177,0.3,3.1,183,0,0,291
7.1,177,0.3,3.1,183,0,0,306
7.1,177,0.3,3.1,183,0,0,306
0,0,0,0,0,0,0,294
0,0,0,0,0,0,0,297
0,0,0,0,0,0,0,310
0,0,0,0,0,0,0,310
0,0,0,0,0,0,0,310
0,0,0,0,0,0,0,27
0,0,0,0,0,0,0,4
0,0,0,0,0,0,0,96
0,0,0,0,0,0,0,130
0,0,0,0,0,0,0,0
